321970,"Georgianna Chisholm                               ",15
321820,"Dorotha Seawell                                   ",11
321800,"Earlie Schleusner                                 ",11
321830,"Maren Musto                                       ",11
321960,"Maryanna Fiorentino                               ",11
321980,"Micha Woodford                                    ",11
321850,"Calvin Ollison                                    ",11
321840,"Vernita Plump                                     ",11
321810,"Moon Torian                                       ",10
321860,"Saran Ram                                         ",10
321910,"Brandie Riva                                      ",10
321940,"Arica Stoltzfus                                   ",10
321930,"Hilma Busick                                      ",10
321920,"Marquetta Laycock                                 ",9
321950,"Elwood Shutt                                      ",9
321990,"Dawna Agnew                                       ",9
321760,"Delilah Krum                                      ",8
321630,"Julia Behrman                                     ",8
321640,"Tia Amato                                         ",8
321900,"Soraya Fulton                                     ",7
321890,"Nelle Meaux                                       ",7
321520,"Michel Averette                                   ",7
321690,"Gianna Dossey                                     ",7
321680,"Elna Condello                                     ",7
321870,"Derrick Boggess                                   ",7
321740,"Charles Bidwell                                   ",7
321750,"Cliff Meints                                      ",7
321880,"Babette Soukup                                    ",7
321700,"Debroah Wardle                                    ",6
321510,"Eugena Esser                                      ",6
321560,"Elba Felder                                       ",6
321590,"Necole Victory                                    ",6
321500,"Samuel Racine                                     ",6
321710,"Sherlene Wetherington                             ",5
321580,"Sibyl Lauria                                      ",5
321720,"Chau Rowles                                       ",5
321730,"Carletta Kosinski                                 ",5
321540,"Cara Clarke                                       ",4
321780,"Julie Starr                                       ",4
321770,"Kathleen Lalonde                                  ",4
321550,"Lavera Oles                                       ",4
321530,"Renetta Carew                                     ",4
321620,"Retha Sears                                       ",3
321670,"Nakesha Renn                                      ",3
321570,"Shawanda Selke                                    ",3
321660,"Silvana Virden                                    ",3
321600,"Ernestine Pickron                                 ",3
321650,"Akilah Drinkard                                   ",3
321610,"Ayesha Monica                                     ",3
321790,"Cordell Rieder                                    ",3
